text,labels
ส่งของล่าช้ามากครับ,neg
ของไม่ตรงปกเลย,neg
ของที่สั่งได้ไม่ครบเลยทำไมร้านไม่รู้จักเช็ค,neg
บริการแย่,neg
ไม่อร่อยเลยไปร้านอื่นยังอร่อยกว่า,neg
พนักงานร้านนี้บริการไม่ดี แย่มากๆดเลย,neg
ร้านควรปรับปรุงเรื่องรสชาติและการบริการ,neg
อิผ้าอนามัยเหิ้ย ติดทุกอย่าง ยกเว้นกางเกงใน,neg
มันบ่แซบ,neg
ราคาไม่คุ้มกับสินค้า,neg
สินค้านี้ราคาค่อนข้างสูง,neg
รองเท้าสีนี้ไม่สวยเลย,neg
กระเป๋าใบนี้ไม่สวยเลย,neg
เสื้อตัวนี้เย็บไม่ดีเลย,neg
ร้านนี้ดูสกปรกมากเลย,neg
ในร้านจานชามดูเปื้อนมาก,neg
อีเหี้ยยยย ไม่สะอาดสัสๆเลย,neg
ระบบจ่างตังควรไวกว่านี้,neg
แม่ค้าทำอาหารช้ามาก,neg
ร้านส่งของไวมาก,pos
ร้านนี้บริการดีมากๆ,pos
พนักงานเสิร์ฟ เสิร์ฟของดีมากต้องให้ทิปเยอะๆแล้ว,pos
ร้านนี้อาหารรสชาติอร่อยมาก,pos
ห้างนี้ดูสะอาดสะอ้านน่ามามากๆ,pos
สินค้าตัวนี้ดูดีและราคาถูกมาก,pos
รองเท้าคู่นี้สวยมาก,pos
อีสัสร้านนี้แม่งโครตอร่อย,pos
ร้านนี้อร่อยเชี้ยๆ ต้องกลับมาซ้ำ,pos
พ่อค้านิสัยดีบริการดีมาก,pos
ทำออกมาแบบนี้โครตแจ่มบอกเลย,pos
อร่อยคุ้มราคามาก,pos
โปรโมชั่นตัวนี้คุ้มดีนะผมว่า,pos
ถุงยางตัวนี้ใช้แล้วรู้สึกเหมือนขึ้นสวรรค์,pos
แพคสิ้นค้าแน่นหนาดีมากเลยร้านนี้,pos
รสชาติติดปากมากร้านนี้,pos
สั่งแล้วได้ตามที่สั่งเลย ชอบๆ,pos
เสื้อตัวนี้สวยดีนะ,pos
หม้อทอดตัวนี้ใช้ดีมากเลย,pos
ร้านดูสวยน่าเขาไปใช้บริการมากๆ,pos
อิห่า แมคไม่คุ้มเลย เคฟซีน่าแดกกว่า ,neg
บุหรี่ไฟฟ้าน่าเกลียดกว่า,neg
พกปืนเถื่อนโทษยังน้อยกว่าบุหรี่ไฟฟ้าอีก,neg
เราจะต้องมาทรมานกับอาการผ้าอนามัยบาดในทุกๆเดือนเลยหรอวะ ฮืออออออ แดงหมดแล้วเด้อ,neg
เสียอย่างเดียวไม่มีกุ้ง,neg
ขโมยน้ำซุปไปทำแดกเองได้ป่ะ อิห่าเซ็ทหมูแพงเกิ๊น เพื่อนกูก็เป็นเจ้าของลูกชิ้นเอ็มเคสั่งถูกๆแดกได้ ,neg
ไฮเนเก้นท์ ถูกกินแล้วขมคอ,neg
พวกคนแก่ชอบขวางโลก,neg
ใส่ผ้าอนามัยนั่งจนตูดเป็นแผลละอ่ะ โห้ว,neg
ผู้หญิงที่ร้องเรียน ดูแล้วจ้องหาเรื่องเหมือนกันนะ โน้นก็ไม่ได้นี่ก็อย่าทำ ตลกอ่ะ,neg
ใจแคบแบบนี้ อยู่ที่ใหนไม่ได้หรอก ทำกับข้าวบ้านเค้า ก็ยังลำบาก สงสารป้ามากกว่า,neg
คนแบบนี้จะไปอยู่ไหนได้ เพราะ คุณต้องเข้าใจ เราต้องอยู่รวมโลก มนุษย์,neg
ไร้น้ำใจที่สุด ใจแคบ อยู่ร่วมสังคมไม่ได้หรอกคนแบบนี้,neg
คนแบบนี้อันตรายในสังคม,neg
ไม่แปลกใจที่พลอยมีนิสัยแบบนี้ ถูกเลี้ยงดูมาจากแม่ที่ไม่ค่อยมีความคิด,neg
ยังไงก็แก้ไม่หาย มันเป็นสันดานไปแล้ว ดูจากพฤติกรรมที่ผ่านมาไม่ธรรมดาเลย,neg
ตรรกะแม่ก็ผิด ลูกก็ถึงเป็นแบบนี้ เข้าใจพ่อที่ทิ้งลูก เพราะแม่เป็นแบบนี้ เข้าใจพ่อ,neg
ขออนุญาตไม่สงสารทั้งแม่ทั้งลูก เพราะหลายครอบครัวลำบากกว่านี้เค้ายังไม่ทำแบบนี้เลย,neg
เสียทั้งตัว เสียทั้งเงิน ผู้ชายถ้ามายุ่งเกี่ยวกับเงินของเราให้มีสติหน่อยนะ,neg
เป็นตอนที่ไร้สาระสุดๆ,neg
ผู้ชายคนนี้ต้องเสียใจไปตลอดชีวิต..ที่ทำกับลูกตัวเองแบบนี้,neg
ผมซื้อยี่ห้อแพงมาแต่ทำแล้วไม่เหมือนในคลิปเลย,neg
ลิงค์ร้านในช้อปปี้เข้าไปไม่เจอร้านแล้วอะคะ ,neg
เสียงพัดลมดังมากไหม เวลาเปิดใช้งาน,neg
ยังขาดความรู้หลายด้านในการรีวิวครับ​,neg
ชื่อราคาอันถูก ใช้แล้วควันขึ้นข้างบนคะ เหม็นใหม้มากคะ,neg
ชอบที่น้องบอกว่าไม่มีถูกไม่มีผิดชอบๆมากค่ะ,pos
รีวิว​ดีมากละเอียด​มากชอบค่ะ,pos
อันถูก ไม่ยุ่งยากในการล้าง มีแค่ตะแกรงเล็ก,pos
ไปเรา 900 พอ ขอบคุณรีวิว ครับ,pos
แบบนี้จะซื้อแพงทำไมเนี่ย เลยของถูกดีกว่าถูกแล้วดีมีอยู๋จริง,pos
ไม่ซื้อของแพง แล้วครับ ซื้อของถูกดีกว่าเยอะ เบคอนออกมาสวยน่ากินกว่าเยอะ5555!!!!!,pos
สีสวยน่าใช้,pos
รุ่นนี้ดีค่ะใช้อยู่ สั่งมา3หม้อแล้ว,pos
สุดยอดการรีวิวค่ะ,pos
น่ากินมากจ้า ดูแล้วหิวเลย ,pos
อย่างน่ากินเลย น่ากินกว่าอาหารตามสั่งบางร้านอีก,pos
น่าทานมากพี่ เย็นนี้ได้เมนู ลุกไปทำตามละ,pos
แค่ดูรูปปกก็หิวแล้ว,pos
น่าอร่อย​นะเนี้ย​,pos
สนุกมากครับ,pos
ผมชอบพี่ตั้งแต่เด็กเลยครับ ,pos
สรุปเนื้อเรื่องดีมากครับ,pos
เป็นคนที่ตั้งใจเล่นบาสสุดๆในยุคนี้ละ เต็มที่ตลอด ไม่มีติดแอ็ค,pos
กลายเป็นอัลบั้มโปรดไปแล้ว,pos
สุดมากกกก รักเบยย วงนี้,pos
ที่สุดของใจ,pos
สิ่งที่รอคอยได้เกิดขึ้นแล้ว,pos
ผมติดตามมาเมื่อ 7 ปีก่อนครับ ตั้งแต่เพลง ควันควันบุหรี่ ชอบทุกเพลงเลย,pos
แต่หละเพลง อินในหัวใจจริงๆครับ,pos
สนับสนุนตลอดไป,pos
ขอบคุณที่ทำให้รู้จักวงนี้นะ,pos
ทำไมเพลงคุณถึงได้เพราะขนาดนี้ ขอเก็บวงนี้ไว้ในใจอีกวงนะ,pos
โครตสุด,pos
เป็นวงโปรดของคนอกหักเสมอ,pos
ผมรักพวกคุณนะครับ,pos
ร้านตี๋น้อยถูกใจสิ่งนี้,pos
สนุกมากค้า ชอบเวลาไปทำคลิปแบบนี้,pos
คุมเสียงร้องดีครับ ดนตรีก็ดี,pos
พี่ๆเล่นเกินล้านนนเสมออ เต็มที่มากๆ,pos
เพลงโปรด กับวงสุดโปรด,pos
ส่งเธอนานแล้ว แต่เรายังอยู่ที่เดิม,neg
รอตั้งนาน,neg
กำลังจมกองน้ำตาอยู่เลย,neg
พร้อมนอนจมกองน้ำตา,neg
วันนี้ให้แม่ไปซื้อไก่ที่สาขาโลตัสชุมแพบริการแย่มากๆค่ะ,neg
Kfc สาขาซีคอนศรีนครินทร์ผมพาลูกมาทานร้านสกปรกมากบริการแย่,neg
นั่งในร้านร้อนมากๆ พนักงานก็เยอะแต่ปล่อยโต๊ะปล่อยร้านสกปรกหน้าร้านเลอะเทอะ,neg
พนักงานตะคอกใส่ทำสีหน้าไม่พอใจ,neg
เบอร์เกอร์มันคืออันน้อยลง,neg
เดี๋ยวนี้ชิ้นเล็กลงเยอะเลยครับ,neg
เครื่องหมดก็ไม่บอกแบบนี้ก็ไม่ไหวนะ,neg
รสชาติไก่แย่มากค่ะ แป้งแข็ง จืด ไม่อร่อยอย่างแรง,neg
ทำไมไก่ชิ้นเล็กลง,neg
ไม่อร่อย แย่กว่าเดิมมากๆครับ,neg
เค็มไปหน่อย,neg
พนักงานบอกรอไก่ 10 นาที คงแปบเดียว ล่อไป40นาที,neg
ไม่ยินดีกับอะไรทั้งนั้น ถ้าเราสองคนต้องจากกัน,neg
ผมเป็นคนโชคร้าย,neg
"ผมเป็นคนเลว
",neg
ผมเป็นคนที่ไม่มีใครรัก,neg
"ผมเป็นคนน่าเบื่อที่สุด
",neg
นี่ไม่ใช่อาหารที่ผมชอบ,neg
ฉันเบื่ออาหารมากๆ,neg
ทำไมตัวหนูไม่มีไรดี,neg
โลกดูไม่สดใสเลยสำหรับฉัน,neg
กูโครตไม่ชอบอะไรแบบนี้เลย,neg
ทำอะไรมีแต่เรื่องเสียหาย,neg
ชีวิตไม่เคยมีไรดีเลย,neg
ผ้ากันเปื้อนดูไม่สวยเลยนะฉันว่า,neg
ทำอะไรก็ดูไม่ดีไปหมดเลยนะตัวฉัน,neg
จะต้องเจอเรื่องแย่ๆแบบนี้ไปอีกเมื่อไหร่,neg
ตั้งแต่ปีนี้มายังไม่เจอเรื่องดีๆในชีวิตเลย,neg
เป็นคนที่ไม่ตั้งใจทำอะไรเลย,neg
วันนี้แกเล่นแย่ไปนะ,neg
ฟอร์มกากๆแบบนี้ยังกล้าเล่นหรอ,neg
ฝีมือแค่นี้ทำไมได้ลงสนามจัง,neg
เล่นห่วยแตกมาก,neg
ประเทศนี้เฮงซวย,neg
ภาครัฐบริการจัดการไรได้ไม่ดีเลย,neg
ถ้ายังทำแบบนี้อยู่ชาตินี้คงไม่เจริญ,neg
ห้องนอนนี้น่านอนมาก,pos
วันนี้เธอแต่งตัวได้น่ารักมาก,pos
ได้เยอะแถมอร่อยด้วยข้าวร้านนี้,pos
ขอให้มีความสุขมากๆนะ,pos
สมหวังทุกประการ,pos
รสชาติร้านนี้แม่งโครตแซ่บบบ,pos
เนื้อสดคุณภาพคับคั่งมาก,pos
แน่นอนว่าฉันกลับมาใช้บริการอีกแน่ บริการดีขนาดนี้,pos
ครีมตัวนี้ซึมไวและทนทาน,pos
ภาพที่เธอถ่ายมาสวยมากๆเลยแหละ,pos
เพลงอะไรเพราะมากๆเลย,pos
ฉันขอชื่นชมเลยว่าร้านนี้ของดีจริง,pos
เสื้อตัวสวยและใส่ดีมาก,pos
ลูกอมรสนี้หอมและหวานมากชอบเลย,pos
เพลงเพราะมากๆเลยค่ะ เป็นกำลังใจให้นะคะ,pos
ทำให้เราจิตนาการถึงแต่เรื่องราวดีๆ,pos
ขอบคุณที่ทำเพลงดีๆออกมานะคะ,pos
ชอบเพลงนี้มากเลยค่ะ ขอบคุณเพลงดีๆแบบนี้นะคะ,pos
ชอบเพลงที่เบาสบายแบบนี้มาก,pos
จริงใจสุดๆ ไม่เหมือนรีวิวอาหารรายการอื่นๆ,pos
ผมชอบดูพี่ทำอาหารในงบไม่เกิน แบบนี้,pos
ทำเสร็จแล้วน่ากินมาก อยากให้ ,pos
ชอบดูรายการนี้มาก โดยเฉพาะรายการอาหาร มันเป็นวิธีทำที่คนปกติทั่วไปทำจริงๆ ทำตามได้ง่ายมาก,pos
น่าอร่อยอ่ะพี่ อยากกิน ,pos
ดูมาแต่ระคลิป อยากทำกินเองแบบพี่มากเลย น่าอร่อยไปหมด อยากกินหมดทุกอย่าง5555 ,pos
ว้าว...เมนูโดนใจสุดสุดค่ะ,pos
ชอบการทำอาหารของพี่มากเลยครับ ติดตามแล้วครับ สู้ๆ,pos
ทำอาหารใด้เพลินมาก เหมือนไม่ยาก ไม่มีพิธีมากชอบๆๆ,pos
หู้ยยยเริ่ดด,pos
มันจึ้งมากกกกกกกก แม่,pos
เอวเอสมากแม่,pos
เอวเป็นเอวเลยแม่,pos
ชุดที่ดีระดับต้นๆที่เคยเห็นมา,pos
น่าจะเป็น11ตัวจริงที่ดีที่สุดในรอบปีเลย,pos
ดูโหดไม่เบา,pos
สุดเลยครับชุดนี้ พลังหนุ่มเลย,pos
ตอนนี้แกเป็นกองหน้าที่เก่งสุดในประเทศ ,pos
เนื้อผ้าหนาและอุ่นดีมากเลยครับ,pos
 ฉันชอบกลิ่นนี้! ,pos
กลิ่นหอม ติดทนทั้งวัน ฟินมาก,pos
กลิ่นนี้ของแท้แน่นอนเลย,pos
ขอบคุณที่แบ่งปันเรื่องราวดีๆในวันนี้ครับ,pos
ขอเป็นอีกหนึ่งกำลังใจให้ครับ,pos
สักวัน ท้องฟ้าของเราจะสดใส เป็นกำลังใจให้นะคะ,pos
ขนลุกบอกไม่ถูก ดีมากเลยอะ,pos
เพลงยอดเยี่ยม,pos
ศิลปินยอดเยี่ยม,pos
ของจริงก็คือของจริง,pos
หล่อรวยเท่สุดผู้หญิงคนไหนจะไม่ชอบ,pos
ผมว่า....เหนื่อยหน่อยนะ เรารู้ว่าทุกวันมันโครตเหนื่อยเลย ,neg
ว่าการตายที่น่าหดหู่ที่สุดรูปแบบหนึ่ง คือ การปล่อยให้ความเป็นตัวของตัวเองตายด้วยน้ำมือตัวเอง ,neg
เรื่องนี้ฟังแล้วน่าหดหู่มากๆเลย,neg
ฟังเรื่องนี้แล้วรู้สึกไม่อยากมีชีวิตอยู่เลย,neg
ทำไมคนเป็นพ่อแม่ต้องทำไรแย่ๆใส่เราด้วย,neg
โลกไม่ได้โหดร้ายกับฉัน,neg
ชีวิตเรามีแต่เรื่องเครียดๆนะ ช่วงนี้,neg
ฉันไม่ชอบหนังแนวนี้มากๆเลย,neg
ทุกอย่างดูเศร้าและไม่สนุกมากๆ,neg
กลิ่นห้องน้ำเหม็นมากใช้บริการไปได้ไง,neg
หมาตัวนี้เหม็นลูน่าเกลียดมาก,neg
การกระทำน่าเกลียดแบบนี้ไม่ควรเกิดขึ้น,neg
ครูวิชานี้สอนไม่ได้เรื่องเลย,neg
เด็กคนนี้นิสัยไม่ดีเอาสะเลย,neg
ใครพาทำแบบนี้พ่อแม่ไม่สั่งไม่สอนเลย,neg
ทำแบบนี้มันดูเลวร้ายมากเลยอ่ะ,neg
ให้น้อย เนื้อบาง ไม่อร่อยเลยอ่ะ,neg
รสชาติจืดไป ถ้วยจานดูไม่สะอาด,neg
ร้านมืดบริการไม่ดีเด็กเสิร์ฟน้อย,neg
ส่งช้า บริการไม่ทันใจเลย,neg
มีกลิ่นเหม็นในร้านดมแล้วจะอ้วกออกมาเลย,neg
เพลงนี้ไม่เพราะดูน่าเบื่อมากๆเลย,neg
วงนี้เล่นน่าเบื่อเล่นไม่เต็มที่,neg
ร้านนี้การจัดการไม่ดีจัดเหมือนเอาแต่กำไร,neg
รสชาติยี่ห้อนี้เปรี้ยวเกินไปกินไม่ได้เลย,neg
การแข่งครั้งนี้เหมือนจัดลวกๆไม่มีความเตรียมพร้อมอะไรเลย,neg
สภามหาลัยจัดการไรไม่ดีเลย อยากทำไรก็ทำไม่สนใจเสียงนักศึกษา,neg
ระบบขนส่งแย่มาก รถติดแล้วยังไม่ตรงเวลาอีก,neg
เป็นการกระทำที่ดูแย่มากไม่มีความกตัญญูเลย,neg
พ่อแม่แม่งหัวควย,neg
รักแค่ไหนก็ไม่อาจรั้งไว้ หากเขาอยากไป ,neg
ทำไมคุณบริการกับฉันแย่ขนาดนี้,neg
ถ้าคุณดีจริงฉันไม่เลิกกับคุณหรอก,neg
บ้านข้างๆส่งเสียงดังรบกวนคนอื่นตลอดเลย,neg
บ้านข้างๆชอบส่งกลิ่นมาเป็นประจำ,neg
กลิ่นเหม็นจากโรงงานน้ำตาล ฉันทนจะไม่ไหวแล้วค่ะ,neg
ฉันไม่ชอบนิสัยแบบนี้มากๆเลย,neg
ทุกวันนี้โรงพักตำรวจทั้งประเทศส่วนมากมีตำรวจเลวมากกว่าตำรวจดี,neg
มันเป็นยุคเสื่อมที่สุดในระบบราชการทุกองค์กรหลังปี57ถึงขณะนี้,neg
การแต่งตั้งโยกย้ายไม่เป็นธรรมเนื่องจากระบบยุติธรรมไม่มีประสิธิภาพ ,neg
สอยตตรงๆเลย นายกนั่นแหละตัวดีทำตำรวจเสีย,neg
นี้แหละมีนายกบ้าอำนวจตำรวจถึงกล้าทำชั่ว,neg
ฟังแล้ว”สลดใจครับ”กับการกระทำครั้งนี้มากๆครับ,neg
ทำไมมีนิสัยเลวๆแบบนี้,neg
ทำแบบนี้ไม่ดีเลย,neg
เลวแบบนี้คงแก้ไขไรไม่ได้หรอก,neg
บริการไม่ดีแบบนี้เจ๊งแน่นอน,neg
ทำช้าขนาดนี้ไม่ควรมาเปิดร้านเลยอ่ะ,neg
แก้ปัญหาแบบโง่ๆ,neg
ทำตัวมีปัญหา ,neg
ปัญหาเรื่องบูลลี่ เกิดขึ้นเพราะครูไม่ได้เรื่อง ครูใหญ่ไม่ได้เรื่อง,neg
ปล่อยปละละเลยเด็ก เอาแต่มาสอนแล้วก็กลับบ้านไป ไม่สนใจเรื่องจิตใจเด็ก ,neg
ครูทั้งหลายทำอะไรอยู่ ผอ? ไม่สนใจเลยเหรอ ,neg
โรงเรียนก็เฉยไม่สนใจเด็ก,neg
ครูควรทำหน้าทีให้ดีกว่านี้และโรงเรียนไม้ใช่ให้เด็กที่ถูกกระทำต้องเป็นคนย้าย,neg
อย่าให้ลูกทนเลยไม่คุ้ม ย้ายโรงเรียนเถ่อะ,neg
สังคมไม่ต้องการบุคคลประเภทบุลลี่ชาวบ้าน,neg
เด็กที่ทำมาจากครอบครัวที่เลี้ยงลูกมีปัญหาเลยแสดงออกใส่เพื่อนที่อ่อนแอสงสารนะเข้าใจ,neg
อยู่ที่โรงเรียนไม่ใส่ใจสอดส่องเด็กให้อยู่ในความเรียบร้อย,neg
ครูไม่ได้เรื่อง,neg
ทำไมมันน่ากลัวมากขึ้นทุกวันๆ,neg
เดี่ยวนี้การเรียนมันยาก,neg
ชอบดูถูกคนอื่นน่ะพ่อแม่มึงไม่สั่งสอนไงถ้าคิดได้แค่นั้นน่ะไม่ต้องเรียนหนังสือแล้วนั่นน่ะไปตายดีกว่าเมื่อไหร่ก็เจอแต่เรื่องนี้,neg
ผ.อไม่ได้เรื่อง,neg
เด็กโรคจิตมันเยอะ    เพราะโรงเรียนปล่อยไม่เอาจริง,neg
เห็นแล้วหดหู่จังเลย,neg
ทำชั่วเองไม่ต้องไปโทษคนอื่นเลย,neg
นิสัยตอแหลมากๆรับไม่ได้,neg
เราไม่ชอบเลยเวลามีคนมาด่า มาบูลี่ ไม่ชอบอะ ทุเรศสิ้นดี,neg
ครูไม่ใส่กับเรื่องพวกนี้เลย,neg
เมืองไทยมีความเหมาะสมทุกอย่าง,pos
ส้มตำร้านนี้แซ่บจริงๆนะ แม่ค้าก็แซ่บไม่แพ้กัน ,pos
ชอบแม่ค้าค่ะ เพราะพี่เค้าทำเป็น และใส่ใจในรายละเอียดของร้าน,pos
หูยยยย น่ากินทุกเมนู แซบส้มตำ แซ่บทั้งแม่ค้า,pos
ส้มตำเป็นตาแซบ แม่ค้ากะงามโพด อยากไป,pos
แม่ค้ายิ้มสวย มีเสน่ห์มาก,pos
ร้านนี้อร่อยทุกอย่างเลยค่ะ รสชาติอีสานของแท้,pos
ความภูมิใจของคนไทย.ประเทศไทย.อย่างที่สุดครับ.สุดยอดๆๆๆ,pos
ส่งเสริม นวัตรกรรมวิทยาศาสตร์ ความภาคภูมิใจแห่งชาติประเทศไทย ร่วมสนับสนุน,pos
สุดยอดฝีมือคนไทย รู้สึกภูมิใจมากคับ และขอขอบคุณผู้คิดค้นวิจัยและลงมือทำที่ทำให้พวกเราชาวไทยได้ภาคภูมิใจนะคับ,pos
ขอบคุณลุงมากที่ทำให้ไทยมีวันนี้,pos
เก่งมากครับฝือมือคนไทย ขอชมเชยไว้ ณ โอกาศนี้ครับ,pos
ไทยทำ ไทยใช้ไทยเจริญ .,pos
ขอบคุณรัฐบาล .หมอจนท.สาธารณสุข และคนไทยทุกคนช่วยกันป้องกันโรค จนผ่านไปด้วยดี,pos
เชื่อมั่นทีมรัฐบาลชุดนึ้มากๆค่ะ,pos
ขอบคุณแอดมินและทีมงานที่นำเรื่องจริงดีๆ​ ของไทยมาเผยแพร่​ ดูแล้วดีต่อใจมาก,pos
ตอนติดโควิทนี่ รู้เลย ภาครัฐดูแลดีอย่างมาก ที่พักหรู อาหารอย่างดี ที่สำคัญฟรีตลอดงาน,pos
ต้องขอบคุณทีมแพทย์สาธารณสุขของไทยทุกท่านที่ทุ่มเทและเสียสละ เก่งค่ะ แพทย์ไทยสุดยอด,pos
ใช่ค่ะ ผู้นำที่ดี ที่เก่ง ไม่จำเป็นต้องพูดเยอะ พูดมาก พูดโอ้อวด ,pos
ครูที่เวียดนามคือคนที่เรียนจบ ได้คะแนนสูงมากเป็นลำดับต้นๆ,pos
เด็กไทยมีความเป็นเลิศ​คณิตศาสตร์​ไม่น้อยหน้าเวียดนามเลยน๊ะ ,pos
เด็กเก่งอัจฉริยะ จะทำอะไรก็น่ารัก,pos
สุดยอด นัก คณิตศาสตร์ที่อายุน้อยที่สุดในโลก,pos
ทั้งเก่งและมีอารมณ์ขัน ดีแล้วครับน้องๆเรียนหนักไม่จำเป็นต้องเครียด,pos
หนูๆ พูดได้ดีค่ะลูกสุดยอดโชคดีนะคะลูกๆ ค,pos
เด็กไทยเก่งมากครับเยี่ยม,pos
สุดยอดไปเลย,pos
ยินดีกับน้องเทนนิสด้วยค่ะ ทุกคนภูมิใจในตัวน้องมากๆๆ,pos
อนาคตสดใสแน่นอน,pos
โค้ชเกาหลี สุดยอด ปั้นน้อง จาก ไม่มีฝีมือ จนกลายเป็นแชมป์โลก,pos
สปิริตคู่แข่งดีมากถึงจะเสียใจแค่ไหนก็ยังแสดงความดีใจกับผู้ชนะ,pos
ปลื้มมมม สุดยอดมาากกก ขอบคุณน้องเทนนิส โค๊ช เเละทีม ที่สร้างความสุขให้คนไทยนะคะ,pos
น้ำใจนักกีฬา สู้จนวินาทีสุดท้าย จิตใจแข็งแกร่งมาก นับถือ,pos
ในสถานการณ์แบบนี้ พวกคุณต้องแกร่งทั้งกายและใจ ยอดเยี่ยมจริงๆค่ะ,pos
ชนะด้วยสกอร์ต่อสกอร์แบบนี้มันสะใจที่สุด ,pos
ไทยเราพัฒนาจริงๆด้วย นักกีฬาไทยดูดีมาก หลายชนิดกีฬาเลย,pos
สุดยอดครับ นับถือน้ำใจนักกีฬาทุกคน ปาดกันที่ 30 วินาทีสุดท้าย สุดยอดจริงๆ ,pos
สุดยอด น้ำตาไหลเลย เยี่ยมจริงๆ,pos
ทั้งสะใจทั้งยอดเยี่ยมทีมไทย สุดยิดมากๆเจ้าหนู,pos
ชายผู้ที่เก่งและมากไปด้วยพรแสวง ,pos
ชายที่ทุ่มเททุก​เกมที่เล่นกระหายชัยชนะ​ใจ​สู้​ตลอดเวลา​ถ้า​ทีมไหนมีความมุ่งมั่น​ซัก10คนในทีมไม่ต้อง​สืบ,pos
ใครจะว่ายังงัยก็ช่างเราจะมองนายเป็นสิ่งมหัศจรรย์เสมอ ,pos
ขอบคุณที่ทำคลิปนี้ขึ้นมานะครับ ขอบคุณที่คืนความยุติธรรมให้ชายคนนี้บ้าง ,pos
สุดยอดนักเตะ สุดยอดของการทุ่มเท เขาไม่ได้เห็นแก่ตัว,pos
ผมคนนึ่งที่รักผู้​ชายคนนี้ตลอดกาล​🇵🇹🇵🇹🇵🇹และตลอดไป​ ,pos
ใครจะลืมก็ลืมไปครับ แต่ผมไม่มีวันลืม ไอดอลตลอดกาลของผม ,pos
ไม่ว่าคุณจะอยู่ที่ไหน คุณก็คือนักเตะในดวงใจของผม,pos
หุ่นดี​มีเสน่ห์​รูปร่าง​เป๊ะมาก​เต้นได้​ดีมีสเต็ป​,pos
แพรจ๋าสุดสวย หุ่นดี เเข็งแกร่งมา ฮากระจาย,pos
ขอบคุณที่ทำสิ่งนี้ขึ้นมานะคะ มันดีมากจริงๆ สิ่งที่พวกพี่ๆทำอยู่ พวกเรารับรู้มันด้วยใจ ,pos
รักพวกคุณเสมอ ดีไปหมด ,pos
ชอบมาก รักคอนเสิร์ตเวอร์ชันนี้มาก มันทำให้รักเพลงในอัลบั้มนี้ยิ่งขึ้นไปอีก,pos
ให้​สม​กับ​ที่ประชาชน​ชื่นชม​สู้​ๆ​นะคะ​,pos
